,tconst,originalTitle,backdrop_path,poster_path
2146,tt0022150,Le million,/130w48OEfsipXXvBfVo6J8KTcFm.jpg,/tNxaR9GBrQVBsGVc5CUxXrUWWxd.jpg
2162,tt0022252,Paris-Beguin,/pugPQgYcI5bNvLvsKyK2nl5UKyN.jpg,/1w1Hkk2vyAckkDKXR7D0ctFtiSl.jpg
2254,tt0022494,Tout ça ne vaut pas l'amour,/u4q4N5DRpTGes5vyWBN5832lNeW.jpg,/r61UfhRIeYVf1xmx3t0TE22R8Hr.jpg
2276,tt0022599,À nous la liberté,/naHXHsdkizGec3ndo3kwcwamLos.jpg,/z6XdIxE1CRqSgfOJxX1nGik6CGm.jpg
2319,tt0022718,Boudu sauvé des eaux,/f2xs9gITz87n72jm6b04o6SZPqr.jpg,/hCRUtli9TCrekxSysHJ15QhMk44.jpg
2333,tt0022765,Les cinq gentlemen maudits,/nfed1DF7Kc7mR96uQBr2Sl774lD.jpg,/xr8iGGnBxAUIScFBIkiAKY0orSL.jpg
2337,tt0022787,Les croix de bois,/H0RicMehQjgnDSACAsLJM0Acux.jpg,/6BGe7bqFaMX2RyrBAQPBGS1I6PO.jpg
2373,tt0022877,Fanny,/qxX9cOJdl4pshYaJpYSQB6DzGpD.jpg,/8hY9A0mWwVXhgdV1S2YKxSp1ruS.jpg
2391,tt0022924,Les gaîtés de l'escadron,/zc9HjwwLt3zy9eBrcpJeQewKY3U.jpg,/yjSSfTCHjol54RFRVMGATOD6jNk.jpg
2502,tt0023345,Poil de carotte,/26M0EAmxCQGq2WUuDlRFqFL6X8s.jpg,/tTYYVyAXKZMVsJUjBk59PkS8F5o.jpg
2967,tt0024480,Quatorze Juillet,/uPCMLvwXbPlKZ1PH8gPVFUcSvzm.jpg,/rCBbpmbI84seozuddkh8GZ3xTgu.jpg
3041,tt0024710,La tête d'un homme,/2XcEH2rRJVR8Q7KdnGuVrttKYvi.jpg,/zYRaUpD4gqQohf8MjUuBQQYFHGL.jpg
3076,tt0024830,Angèle,/hgH4qXvMgHNbLxC2izuj2IzHB1K.jpg,/7KFnRsWpDfwjPgq1BqGai55kpJ.jpg
3077,tt0024844,L'Atalante,/eooCQusEINqdpTMBkECHluyurW9.jpg,/sDkQyZnFvHdnp5ZP21RG4teLiDy.jpg
3161,tt0025043,Le dernier milliardaire,/3asD9zQl4EFLWJxjpVAq9XNUMG3.jpg,/9o4o8J4i1KvHL5wtnbS4EdjKi64.jpg
3198,tt0025191,Golgotha,/tQ3p0zRvJDpHrbbkcJVBqPBuStF.jpg,/rH2zwSiuNFpZTMYUlIDBLhVAtOL.jpg
3228,tt0025279,L'hôtel du libre échange,/8nZEiKoZwbFfrwwSJ8aGEWvwTii.jpg,/w3udEPsv2cLnH29fYwSoaBHkFrI.jpg
3262,tt0025362,Lac aux dames,/nbxleupNToHi3OpnfPSYPHZqZvG.jpg,/4N8slERpgEdBc2h5iUu3UmEuCpD.jpg
3270,tt0025397,Liliom,/2DuNtK9MZmUSRasIzTRbj0tUQzp.jpg,/3vobL7LPk198YHXjkBnO6GeM7cj.jpg
3287,tt0025442,Madame Bovary,/holJnveYpAAzievL3lcnyCih4Xn.jpg,/aTtfQO7JCCErsTO9DU1beKp6OT0.jpg
3323,tt0025509,Les misérables,/eIPULjrRbbL9cK5RA9fN7Z0dqJn.jpg,/d5jyRFTVKHFj2IphY5X9dfAHfWr.jpg
3455,tt0025898,Toni,/hKO0l5mSuqgZk0lQxoxvqJEfPMz.jpg,/v29h4RA9z429yDqls2gNt1sRy9o.jpg
3524,tt0026023,Zouzou,/16jYyKzW1WUmxZ6D1DFgbdRlOH3.jpg,/yDZGl7PyN5UWNvDryrnwkbo1S4C.jpg
3565,tt0026095,La bandera,/jPixwjcImLUY62kbYOh3DCucXvk.jpg,/zhEQ4NbIqRM1xbGB1rRwwnOWvQu.jpg
3687,tt0026280,Divine,/2k2XlACLH10DKBQADsR2gyqbapK.jpg,/tkzhPvkIsDdDxc3MA6f3kFYwScI.jpg
