,tconst,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,production_countries,primaryName
5130,tt1641624,Ma part du gâteau,2011,109,"Comedy,Drama",5.8,2352,FR,"Kevin Bishop,Raphaële Godin,Gilles Lellouche,Tim Pigott-Smith,Fred Ulysse,Karin Viard,Jean-Pierre Martins,Audrey Lamy,Marine Vacth,Flavie Bataillie"
5131,tt1646974,Le nom des gens,2010,100,"Comedy,Drama,Romance",7.1,8230,FR,"Jacques Boudet,Carole Franck,Jacques Gamblin,Zakariya Gouram,Michèle Moretti,Zinedine Soualem,Julia Vaidis-Bogard,Sara Forestier,Adrien Stoclet,Camille Gigot"
5134,tt16491386,En même temps,2022,108,Comedy,5.7,541,FR,"Vincent Macaigne,Yolande Moreau,Doully Millet,Hakim Amokrane,Gustave Kervern,Charlotte Creyx,Jehnny Beth,Jonathan Cohen,Frédéric Felder,India Hair"
5138,tt1653874,Je vous aime très beaucoup,2010,91,"Comedy,Drama,Family",5.5,128,FR,"Albert Delpy,Philippe Duquesne,Bruno Lochet,Firmine Richard,Léopoldine Serre,Pierre Lefebvre,Julien Crampon,Axel Boute,Max Clavelly,Stéphane Aloisi"
5140,tt1655442,The Artist,2011,100,"Comedy,Drama,Romance",7.9,248831,"BE', 'FR","James Cromwell,John Goodman,Penelope Ann Miller,Bérénice Bejo,Jean Dujardin,Beth Grant,Ed Lauter,Joel Murray,Missi Pyle,Elizabeth Tulloch"
5145,tt1659611,Le grand partage,2015,102,"Comedy,Drama",5.2,1176,FR,"Josiane Balasko,Anémone,Jackie Berroyer,Valérie Bonneton,Didier Bourdon,Patrick Chesnais,Michèle Moretti,Firmine Richard,Karin Viard,Michel Vuillermoz"
5150,tt1661275,Their Finest,2016,117,"Comedy,Drama,Romance",6.8,21334,"FR', 'SE', 'GB","Richard E. Grant,Henry Goodman,Bill Nighy,Bill Nighy,Amanda Root,Amanda Root,Rachael Stirling,Nicholas Murchie,Jack Huston,Gemma Arterton,Patrick Gibson,Sam Claflin"
5152,tt1663321,Poulet aux prunes,2011,93,"Comedy,Drama",7.0,9991,"BE', 'FR', 'DE","Mathieu Amalric,Serge Avedikian,Edouard Baer,Éric Caravaca,Maria de Medeiros,Golshifteh Farahani,Didier Flamand,Chiara Mastroianni,Enna Balland,Mathis Bour"
5155,tt1667100,La chance de ma vie,2010,87,"Comedy,Romance",6.1,2694,"BE', 'FR","Marie-Christine Adam,Armelle Deutsch,Yves Jacques,Francis Perrin,Raphaël Personnaz,Brigitte Roüan,Elie Semoun,François-Xavier Demaison,Virginie Efira,Thomas Ngijol"
5159,tt1669694,Une pure affaire,2011,88,"Action,Comedy,Crime",5.7,625,FR,"Pascale Arbillot,Gilles Cohen,Didier Flamand,Laurent Lafitte,Nicolas Marié,François Damiens,Nicolas Boulifard,Anne Duverneuil,Sean Guégan,Françoise Gerbelot"
5161,tt1671584,Tante Hilda!,2013,89,"Animation,Comedy,Family",6.2,162,"FR', 'LU","Josiane Balasko,Sabine Azéma,Gilles Détroit,Bruno Lochet,François Morel,Christian Taponard,Line Wiblé,Bernard Bouillon,Serguei Vladimirov"
5163,tt16731908,Il sol dell'avvenire,2023,95,"Comedy,Drama",6.7,3133,"FR', 'IT","Mathieu Amalric,Zsolt Anger,Barbora Bobulova,Barbora Bobulova,Margherita Buy,Teco Celio,Nanni Moretti,Silvio Orlando,Silvio Orlando,Jerzy Stuhr,Francesco Brandi,Valerio Da Silva"
5164,tt1674057,Et si on vivait tous ensemble?,2011,96,"Comedy,Drama",6.7,3064,"DE', 'FR","Jane Fonda,Geraldine Chaplin,Pierre Richard,Guy Bedos,Daniel Brühl,Gwendoline Hamon,Claude Rich,Bernard Malaka,Camino Fernández,Shemss Audat"
5167,tt1675434,Intouchables,2011,112,"Comedy,Drama",8.5,931842,FR,"François Cluzet,Anne Le Ny,Clotilde Mollet,Omar Sy,Audrey Fleurot,Joséphine de Meaux,Alba Gaïa Bellugi,Cyril Mendy,Absa Diatou Toure,Salimata Kamate"
5174,tt1686042,Girl on a Bicycle,2013,101,"Comedy,Drama,Romance",6.2,2356,"FR', 'DE', 'US","Vincenzo Amato,Christine Citti,Paddy Considine,Roberta Danza,Thomas Heinze,Louise Monot,Nora Tschirner,Stéphane Debac,Christine Wolfe,Isabelle Chollet"
5175,tt1686067,La source des femmes,2011,135,"Comedy,Drama",7.2,4174,"BE', 'IT', 'FR","Hiam Abbass,Biyouna,Mohamed Majd,Mohamed Tsouli,Sabrina Ouazani,Leïla Bekhti,Hafsia Herzi,Hafsia Herzi,Saleh Bakri,Omar Azzouzi,Karim Leklou"
5177,tt1688064,Bye Bye Blondie,2012,87,"Comedy,Drama",5.2,747,"BE', 'FR', 'CH","Emmanuelle Béart,Béatrice Dalle,Sasha Andres,Stomy Bugsy,Pascal Greggory,Soko,Mélanie Martinez,Clara Ponsot,Olivia Csiky Trnka,Jean-Marc Royon"
5178,tt1688070,Mon pote,2010,105,"Comedy,Crime,Drama",6.0,357,FR,"Edouard Baer,Charly Chemouny,Albane Duterc,Atmen Kelif,Riton Liebman,Benoît Magimel,Françoise Michaud,Lucie Phan,Léonie Simaga,Diane Bonnot"
5181,tt1692214,Monsieur Papa,2011,86,Comedy,5.5,510,FR,"Vincent Perez,Patrick Bonnel,Myriam Boyer,Judith El Zein,Michèle Laroque,Kad Merad,Emmanuel Patron,Florence Maury,Gaspard Meier-Chaurand,Yujuan Li"
5189,tt1700423,Gooische vrouwen,2011,105,"Comedy,Drama",6.2,3015,"NL', 'FR","Daniël Boissevain,Arnoud Bos,Derek de Lint,Linda de Mol,Peter Paul Muller,Tjitske Reidinga,Lies Visschedijk,Susan Visser,Leopold Witte,Oscar Aerts"
5190,tt1700467,L'art d'aimer,2011,85,"Comedy,Romance",6.1,1862,FR,"Judith Godrèche,Pascale Arbillot,Ariane Ascaride,François Cluzet,Louis-Do de Lencquesaing,Julie Depardieu,Philippe Magnan,Stanislas Merhar,Emmanuel Mouret,Frédérique Bel"
5197,tt1702429,Eisenstein in Guanajuato,2015,105,"Biography,Comedy,Drama",6.3,3109,"BE', 'FI', 'FR', 'MX', 'NL","Lisa Owen,Maya Zapata,José Montini,Elmer Bäck,Jakob Öhrman,Sara Juárez,Rasmus Slätis,Luis Alberti,Cristina Velasco Lozano,Alaín Vargas"
5198,tt17040210,La grande magie,2022,110,"Comedy,Drama,Musical",5.0,172,FR,"Micha Lescot,Noémie Lvovsky,Sergi López,François Morel,Denis Podalydès,Laurent Stocker,Judith Chemla,Rebecca Marder,Paolo Mattei,Damien Bonnard"
5200,tt17049070,Jumeaux mais pas trop,2022,98,Comedy,5.5,688,FR,"Jean-Luc Bideau,Isabelle Gélinas,Gérard Jugnot,Jean-Michel Lahmi,Nicolas Marié,Medi Sadoun,Bertrand Usclat,Ahmed Sylla,Marc Riso,Pauline Clément"
5201,tt17049104,On sourit pour la photo,2022,95,Comedy,5.7,257,FR,"Pascale Arbillot,Jacques Gamblin,Manolis Mavromatakis,Evi Houvabli,Giorgos Papageorgiou,Dimitris Kapetanakos,Pablo Pauly,Ludovik,Mariella Savvides,Agnès Hurstel"
5202,tt17049112,La revanche des Crevettes Pailletées,2022,113,Comedy,6.3,473,FR,"Roland Menou,Michaël Abiteboul,Félix Martinez,Bilal El Atreby,Nicolas Gob,Pierre Samuel,Romain Lancry,Geoffrey Couët,David Baïot,Romain Brau"
5207,tt1711484,La conquête,2011,105,"Biography,Comedy,Drama",6.3,1704,FR,"Pierre Cassignard,Grégory Fitoussi,Hippolyte Girardot,Samuel Labarthe,Bernard Le Coq,Mathias Mlekuz,Michèle Moretti,Florence Pernel,Denis Podalydès,Emmanuel Noblet"
5208,tt1712187,Manuale d'am3re,2011,125,"Comedy,Romance",5.9,4489,"FR', 'IT","Robert De Niro,Monica Bellucci,Laura Chiatti,Carlo Monni,Michele Placido,Carlo Verdone,Donatella Finocchiaro,Riccardo Scamarcio,Valeria Solarino"
5209,tt1714915,Only Lovers Left Alive,2013,123,"Comedy,Drama,Fantasy",7.2,108337,"FR', 'DE', 'GR', 'GB","John Hurt,Tilda Swinton,Jeffrey Wright,Anton Yelchin,Tom Hiddleston,Mia Wasikowska,Slimane Dazi,Aurélie Thépaut,Ali Amine"
5211,tt1715356,Tous les soleils,2011,105,Comedy,6.9,1943,FR,"Anouk Aimée,Stefano Accorsi,Clotilde Courau,Neri Marcorè,Philippe Rebbot,Marie Seux,Xavier Boulanger,José Luis Roig,Lisa Cipriani,Aude Koegler"
5212,tt17154094,A E I O U - Das schnelle Alphabet der Liebe,2022,105,"Comedy,Drama,Romance",5.5,428,"FR', 'DE","Udo Kier,Sophie Rois,Bernhard Schütz,Laura Tonke,Nicolas Wackerbarth,Milan Herms,Oskar Melzer,Nicolas Bridet,Lilith Stangenberg,Adrien Lamande"
5214,tt1718835,Mon pire cauchemar,2011,103,"Comedy,Drama,Romance",6.0,3183,FR,"Isabelle Huppert,Éric Berger,André Dussollier,Philippe Magnan,Bruno Podalydès,Benoît Poelvoorde,Aurélien Recoing,Virginie Efira,Donatien Suner,Corentin Devroey"
5216,tt1721478,Mariage à Mendoza,2012,91,"Comedy,Drama",6.3,414,"BE', 'FR', 'AR","Nicolas Duvauchelle,Sarah Grappin,Philippe Rebbot,César Bordón,Bernarda Pagés,Benjamin Biolay,Gonzalo Suárez,Gustavo Kamenetzky,Sofía Wilhelmi,Paloma Contreras"
5222,tt1723642,Sur la piste du Marsupilami,2012,105,"Adventure,Comedy,Family",5.5,4292,"BE', 'FR', 'MX","Alain Chabat,Jamel Debbouze,Aïssa Maïga,Fred Testot,Fred Testot,Patrick Timsit,Jacques Weber,Lambert Wilson,Liya Kebede,Dalip Singh,Géraldine Nakache"
5225,tt1726889,On ne choisit pas sa famille,2011,103,Comedy,5.6,1825,FR,"Jean Reno,Christian Clavier,Anna Gaylor,Sophie-Charlotte Husson,Hélène Patarot,Muriel Robin,Michel Vuillermoz,Héléna Noguerra,Caroline Anglade,Maily Florentin Dao"
